agency_id,agency_name,agency_url,agency_timezone
1,Finferries,http://www.finferries.fi,Europe/Helsinki
2,Alandstrafiken,http://www.alandstrafiken.ax,Europe/Helsinki
6,JS Ferryway Ltd Oy,http://www.ferryway.fi,Europe/Helsinki
7,Kuljetus-Savolainen Oy,http://www.kuljetus-savolainen.fi,Europe/Helsinki
8,Archipelago Lines Oy,http://www.saaristolinjat.fi,Europe/Helsinki
9,Sundqvist Investments Oy Ab,http://www.ostern.fi,Europe/Helsinki
10,Pörtö Line,http://www.portoline.net,Europe/Helsinki
11,Nordic Coast Line,http://ncl.fi/,Europe/Helsinki
12,Yksityinen,http://www.lautta.net,Europe/Helsinki
13,HSL,http://www.hsl.fi,Europe/Helsinki
14,Vitharun,http://www.vitharun.fi,Europe/Helsinki
15,Espoon kaupunki,https://www.espoo.fi/fi-FI/Kulttuuri_ja_liikunta/Ulkoilu/Saaristoliikenne,Europe/Helsinki
16,Suomen saaristokuljetus,http://www.suomensaaristokuljetus.fi,Europe/Helsinki
17,Norsöline,http://www.norsoline.com,Europe/Helsinki
18,JT-Line Oy,http://www.jt-line.fi,Europe/Helsinki
19,A&S Ravintolat,http://www.asravintolat.fi,Europe/Helsinki
20,Merisataman lauttaliikenne,https://www.hel.fi/helsinki/fi/kartat-ja-liikenne/joukkoliikenne/lauttaliikenne/vesireittiliikenne/vesireittiliikenne,Europe/Helsinki
21,NJK Blekholmen,http://www.njk.fi,Europe/Helsinki
22,Ferra Oy,http://www.ferra.fi,Europe/Helsinki
23,City Cruisers,http://www.citycruisers.fi,Europe/Helsinki
