service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
13,1,1,1,1,1,0,0,20200101,20201231
14,0,0,0,0,1,0,0,20200101,20201231
15,0,0,0,0,0,1,0,20200101,20201231
16,0,0,0,0,0,0,1,20200101,20201231
105,1,1,1,1,1,1,1,20200101,20200416
106,1,1,1,1,1,0,0,20200101,20200416
107,0,0,0,0,0,1,0,20200101,20200416
108,0,0,0,0,0,0,1,20200101,20200416
109,1,1,1,1,1,0,0,20200417,20200531
110,1,1,1,1,0,0,0,20200417,20200531
111,0,0,0,0,1,0,0,20200417,20200531
112,0,0,0,0,0,1,0,20200417,20200531
113,0,0,0,0,0,0,1,20200417,20200531
164,1,1,1,1,1,1,1,20200101,20201231
165,1,1,1,1,1,1,0,20200101,20201231
166,0,0,0,0,1,1,0,20200101,20201231
228,1,1,1,1,1,1,1,20200101,20211231
253,1,1,1,1,1,1,1,20180101,20200220
254,1,1,1,1,1,1,1,20200221,20201231
258,1,1,1,1,1,0,0,20180101,20200131
259,0,0,0,0,0,1,1,20180101,20200131
260,1,1,1,1,1,0,0,20200201,20201231
261,0,0,0,0,0,1,1,20200201,20201231
303,1,1,1,1,1,0,0,20200101,20200430
304,1,1,0,0,0,0,0,20200101,20200430
305,1,0,1,0,1,0,0,20200101,20200430
306,0,0,1,0,0,0,0,20200101,20200430
307,0,0,0,1,0,0,0,20200101,20200430
308,0,0,0,0,1,0,0,20200101,20200430
309,0,0,0,0,0,1,0,20200101,20200430
310,0,0,0,0,0,0,1,20200101,20200430
311,1,1,1,1,1,0,0,20200501,20200930
312,1,1,0,0,0,0,0,20200501,20200930
313,1,0,1,0,1,0,0,20200501,20200930
314,0,0,1,0,0,0,0,20200501,20200930
315,0,0,0,1,0,0,0,20200501,20200930
316,0,0,0,0,1,0,0,20200501,20200930
317,0,0,0,0,0,1,0,20200501,20200930
318,0,0,0,0,0,0,1,20200501,20200930
397,1,1,1,1,1,0,0,20200101,20200614
398,1,0,1,0,1,0,0,20200101,20200614
399,0,1,0,1,0,0,0,20200101,20200614
400,0,0,0,0,0,1,0,20200101,20200614
401,0,0,0,0,0,0,1,20200101,20200614
405,0,0,0,0,0,1,1,20200101,20201231
472,1,1,1,1,1,1,1,20200101,20200604
473,1,1,1,1,1,0,0,20200101,20200604
492,1,1,0,0,0,0,0,20200101,20201231
493,0,0,1,0,0,0,0,20200101,20201231
494,0,0,0,1,0,0,0,20200101,20201231
532,1,1,1,1,1,0,0,20190810,20200530
533,1,1,1,1,0,0,0,20190810,20200530
534,0,1,0,0,0,0,0,20190810,20200530
535,0,0,1,0,0,0,0,20190810,20200530
536,0,0,0,0,1,0,0,20190810,20200530
550,0,1,1,0,0,0,0,20190810,20200530
588,1,0,0,0,0,0,0,20191001,20200430
589,0,1,0,0,0,0,0,20191001,20200430
590,0,0,0,1,0,0,0,20191001,20200430
591,0,0,0,0,1,0,0,20191001,20200430
592,0,0,0,0,0,0,1,20191001,20200430
635,0,1,0,0,0,0,0,20190902,20200514
636,0,0,1,0,0,0,0,20190902,20200514
637,0,0,0,1,0,0,0,20190902,20200514
638,0,0,0,0,1,0,0,20190902,20200514
639,0,0,0,0,0,1,0,20190902,20200514
640,0,0,0,0,0,0,1,20190902,20200514
648,1,0,0,0,0,0,0,20190902,20200514
679,1,1,1,1,1,0,0,20191101,20200331
680,1,1,1,1,0,0,0,20191101,20200331
681,0,0,0,0,1,0,0,20191101,20200331
682,0,0,0,0,0,1,1,20191101,20200331
709,1,0,0,0,0,0,0,20190901,20200605
710,0,0,1,0,0,0,0,20190901,20200605
711,0,0,0,0,1,0,0,20190901,20200605
712,0,0,0,0,0,1,0,20190901,20200605
713,0,0,0,0,0,0,1,20190901,20200605
719,0,0,0,1,0,0,0,20190901,20200605
753,1,1,1,1,1,0,0,20190902,20200430
754,1,1,0,0,0,0,0,20190902,20200430
755,0,0,1,0,0,0,0,20190902,20200430
756,0,0,0,1,0,0,0,20190902,20200430
757,0,0,0,0,1,0,0,20190902,20200430
758,0,0,0,0,0,1,0,20190902,20200430
759,0,0,0,0,0,0,1,20190902,20200430
760,1,1,1,1,1,0,0,20200501,20200531
761,1,1,0,0,0,0,0,20200501,20200531
762,0,0,1,0,0,0,0,20200501,20200531
763,0,0,0,1,0,0,0,20200501,20200531
764,0,0,0,0,1,0,0,20200501,20200531
765,0,0,0,0,0,1,0,20200501,20200531
766,0,0,0,0,0,0,1,20200501,20200531
826,1,1,1,1,1,1,0,20200101,20200430
827,1,0,0,0,0,0,0,20200101,20200430
828,0,1,1,0,0,0,0,20200101,20200430
844,0,0,1,1,1,0,0,20200101,20200430
845,0,1,0,0,0,0,0,20200101,20200430
869,1,1,1,1,1,1,1,20200515,20200830
870,1,0,0,0,0,0,0,20200515,20200830
871,0,0,1,0,0,0,0,20200515,20200830
872,0,0,0,1,0,0,0,20200515,20200830
873,0,0,0,0,1,0,0,20200515,20200830
874,0,0,0,0,0,1,0,20200515,20200830
875,0,0,0,0,0,0,1,20200515,20200830
876,0,1,0,0,0,0,0,20200515,20200830
881,1,1,1,1,1,0,0,20200515,20200830
893,1,1,1,1,1,1,0,20200515,20200830
899,1,1,1,1,1,1,1,20200601,20200901
900,1,1,1,1,1,0,0,20200601,20200901
901,1,1,1,1,1,1,1,20200101,20200220
