trip_id,start_time,end_time,headway_secs
33608,00:00:00,08:40:00,1800
33609,09:00:00,11:40:00,1800
33610,12:00:00,16:30:00,1800
33611,16:50:00,19:40:00,1800
33612,20:00:00,24:00:00,1800
33613,00:00:00,07:25:00,1800
33614,07:42:00,09:25:00,1800
33615,09:50:00,12:25:00,1800
33616,12:42:00,16:25:00,1800
33617,16:42:00,18:25:00,1800
33618,18:50:00,21:25:00,1800
33619,21:42:00,24:00:00,1800
33620,00:00:00,08:45:00,1800
33621,09:05:00,11:30:00,1800
33622,11:50:00,16:45:00,1800
33623,17:05:00,19:30:00,1800
33624,19:50:00,24:00:00,1800
33625,00:00:00,09:00:00,1800
33626,09:20:00,12:00:00,1800
33627,12:20:00,17:00:00,1800
33628,17:20:00,20:00:00,1800
33629,20:20:00,24:00:00,1800
33630,07:00:00,19:00:00,1800
33631,07:00:00,21:00:00,1800
33632,08:00:00,12:00:00,1800
33633,15:00:00,17:00:00,1800
33634,10:00:00,20:00:00,1800
33635,00:00:00,08:30:00,1800
33636,08:50:00,11:30:00,1800
33637,11:50:00,16:30:00,1800
33638,16:50:00,19:30:00,1800
33639,19:50:00,24:00:00,1800
33640,00:00:00,09:00:00,1800
33641,09:20:00,11:40:00,1800
33642,12:00:00,17:00:00,1800
33643,17:20:00,19:30:00,1800
33644,19:50:00,24:00:00,1800
33645,07:00:00,09:00:00,1800
33646,09:20:00,11:00:00,1800
33647,11:20:00,14:00:00,1800
33648,14:20:00,17:00:00,1800
33649,17:20:00,19:00:00,1800
33650,19:20:00,19:30:00,1800
33651,07:00:00,09:00:00,1800
33652,09:20:00,11:00:00,1800
33653,11:20:00,14:00:00,1800
33654,14:20:00,17:00:00,1800
33655,17:20:00,19:00:00,1800
33656,19:20:00,21:00:00,1800
33657,08:00:00,09:00:00,1800
33658,09:20:00,11:00:00,1800
33659,11:20:00,14:00:00,1800
33660,14:20:00,17:00:00,1800
33661,17:20:00,19:00:00,1800
33662,19:20:00,19:30:00,1800
33663,06:00:00,10:00:00,1800
33664,10:30:00,18:00:00,1800
33665,18:30:00,22:00:00,1800
33666,08:00:00,10:00:00,1800
33667,10:30:00,18:00:00,1800
33668,18:30:00,21:00:00,1800
33669,00:00:00,09:00:00,1800
33670,09:20:00,12:00:00,1800
33671,12:20:00,17:00:00,1800
33672,17:20:00,20:00:00,1800
33673,20:20:00,24:00:00,1800
33674,00:00:00,09:00:00,1800
33675,09:20:00,11:30:00,1800
33676,11:50:00,16:30:00,1800
33677,16:50:00,19:30:00,1800
33678,19:50:00,24:00:00,1800
33679,00:00:00,09:00:00,1800
33680,09:20:00,11:00:00,1800
33681,11:20:00,16:45:00,1800
33682,17:05:00,19:15:00,1800
33683,19:35:00,24:00:00,1800
33684,06:00:00,08:30:00,1800
33685,08:50:00,11:30:00,1800
33686,11:50:00,16:30:00,1800
33687,16:50:00,19:30:00,1800
33688,19:50:00,22:00:00,1800
33689,09:00:00,12:00:00,1800
33690,12:20:00,18:00:00,1800
33691,18:20:00,22:00:00,1800
33692,00:00:00,09:00:00,1800
33693,09:20:00,11:40:00,1800
33694,12:00:00,17:00:00,1800
33695,17:20:00,19:40:00,1800
33696,20:00:00,24:00:00,1800
33697,00:00:00,09:00:00,1800
33698,09:20:00,11:00:00,1800
33699,11:20:00,16:00:00,1800
33700,16:20:00,19:00:00,1800
33701,19:20:00,24:00:00,1800
33702,06:00:00,08:30:00,1800
33703,07:00:00,08:30:00,1800
33704,08:00:00,08:30:00,1800
33705,08:50:00,11:00:00,1800
33706,11:30:00,16:30:00,1800
33707,16:50:00,19:00:00,1800
33708,19:30:00,21:55:00,1800
33709,06:00:00,08:30:00,1800
33710,08:50:00,11:30:00,1800
33711,11:50:00,16:30:00,1800
33712,16:50:00,19:30:00,1800
33713,19:50:00,22:00:00,1800
33714,06:00:00,08:30:00,1800
33715,08:50:00,11:30:00,1800
33716,11:50:00,16:30:00,1800
33717,16:50:00,19:30:00,1800
33718,19:50:00,22:00:00,1800
33719,09:00:00,12:00:00,1800
33720,12:20:00,18:00:00,1800
33721,18:20:00,22:00:00,1800
33722,00:00:00,09:10:00,1800
33723,09:30:00,11:40:00,1800
33724,12:00:00,17:10:00,1800
33725,17:30:00,20:10:00,1800
33726,20:30:00,24:00:00,1800
33727,07:30:00,19:30:00,1800
33728,00:00:00,08:30:00,1800
33729,08:50:00,11:00:00,1800
33730,11:20:00,17:00:00,1800
33731,17:20:00,19:30:00,1800
33732,19:50:00,24:00:00,1800
33733,00:00:00,09:10:00,1800
33734,09:30:00,11:40:00,1800
33735,12:00:00,17:10:00,1800
33736,17:30:00,19:30:00,1800
33737,19:50:00,24:00:00,1800
