trip_id,arrival_time,departure_time,stop_id
1,6:10:00,6:10:00,c12
1,6:20:00,6:20:00,c984
2,7:05:00,7:05:00,c12
2,7:15:00,7:15:00,c984
3,7:45:00,7:45:00,c12
3,7:55:00,7:55:00,c984
4,8:15:00,8:15:00,c12
4,8:25:00,8:25:00,c984
5,9:10:00,9:10:00,c12
5,9:20:00,9:20:00,c984
6,11:15:00,11:15:00,c12
6,11:25:00,11:25:00,c984
7,11:45:00,11:45:00,c12
7,11:55:00,11:55:00,c984
8,13:00:00,13:00:00,c12
8,13:10:00,13:10:00,c984
9,14:30:00,14:30:00,c12
9,14:40:00,14:40:00,c984
10,15:15:00,15:15:00,c12
10,15:25:00,15:25:00,c984
11,16:15:00,16:15:00,c12
11,16:25:00,16:25:00,c984
12,16:45:00,16:45:00,c12
12,16:55:00,16:55:00,c984
13,17:20:00,17:20:00,c12
13,17:30:00,17:30:00,c984
14,19:00:00,19:00:00,c12
14,19:10:00,19:10:00,c984
15,19:50:00,19:50:00,c12
15,20:00:00,20:00:00,c984
16,21:45:00,21:45:00,c12
16,21:55:00,21:55:00,c984
17,22:45:00,22:45:00,c12
17,22:55:00,22:55:00,c984
18,7:45:00,7:45:00,c12
18,7:55:00,7:55:00,c984
19,8:15:00,8:15:00,c12
19,8:25:00,8:25:00,c984
20,9:10:00,9:10:00,c12
20,9:20:00,9:20:00,c984
21,11:15:00,11:15:00,c12
21,11:25:00,11:25:00,c984
22,11:45:00,11:45:00,c12
22,11:55:00,11:55:00,c984
23,13:00:00,13:00:00,c12
23,13:10:00,13:10:00,c984
24,14:30:00,14:30:00,c12
24,14:40:00,14:40:00,c984
25,16:15:00,16:15:00,c12
25,16:25:00,16:25:00,c984
26,16:45:00,16:45:00,c12
26,16:55:00,16:55:00,c984
27,17:20:00,17:20:00,c12
27,17:30:00,17:30:00,c984
28,19:00:00,19:00:00,c12
28,19:10:00,19:10:00,c984
29,19:50:00,19:50:00,c12
29,20:00:00,20:00:00,c984
30,21:45:00,21:45:00,c12
30,21:55:00,21:55:00,c984
31,22:45:00,22:45:00,c12
31,22:55:00,22:55:00,c984
32,9:50:00,9:50:00,c12
32,10:00:00,10:00:00,c984
33,11:15:00,11:15:00,c12
33,11:25:00,11:25:00,c984
34,12:15:00,12:15:00,c12
34,12:25:00,12:25:00,c984
35,13:00:00,13:00:00,c12
35,13:10:00,13:10:00,c984
36,14:00:00,14:00:00,c12
36,14:10:00,14:10:00,c984
37,14:45:00,14:45:00,c12
37,14:55:00,14:55:00,c984
38,16:00:00,16:00:00,c12
38,16:10:00,16:10:00,c984
39,16:30:00,16:30:00,c12
39,16:40:00,16:40:00,c984
40,17:20:00,17:20:00,c12
40,17:30:00,17:30:00,c984
41,18:15:00,18:15:00,c12
41,18:25:00,18:25:00,c984
42,19:30:00,19:30:00,c12
42,19:40:00,19:40:00,c984
43,20:45:00,20:45:00,c12
43,20:55:00,20:55:00,c984
44,21:45:00,21:45:00,c12
44,21:55:00,21:55:00,c984
45,5:50:00,5:50:00,c984
45,6:00:00,6:00:00,c12
46,6:50:00,6:50:00,c984
46,7:00:00,7:00:00,c12
47,7:30:00,7:30:00,c984
47,7:40:00,7:40:00,c12
48,8:00:00,8:00:00,c984
48,8:10:00,8:10:00,c12
49,8:40:00,8:40:00,c984
49,8:50:00,8:50:00,c12
50,10:10:00,10:10:00,c984
50,10:20:00,10:20:00,c12
51,11:30:00,11:30:00,c984
51,11:40:00,11:40:00,c12
52,12:00:00,12:00:00,c984
52,12:10:00,12:10:00,c12
53,13:40:00,13:40:00,c984
53,13:50:00,13:50:00,c12
54,15:00:00,15:00:00,c984
54,15:10:00,15:10:00,c12
55,15:30:00,15:30:00,c984
55,15:40:00,15:40:00,c12
56,16:30:00,16:30:00,c984
56,16:40:00,16:40:00,c12
57,17:10:00,17:10:00,c984
57,17:20:00,17:20:00,c12
58,18:30:00,18:30:00,c984
58,18:40:00,18:40:00,c12
59,19:40:00,19:40:00,c984
59,19:50:00,19:50:00,c12
60,21:30:00,21:30:00,c984
60,21:40:00,21:40:00,c12
61,22:30:00,22:30:00,c984
61,22:40:00,22:40:00,c12
62,6:50:00,6:50:00,c984
62,7:00:00,7:00:00,c12
63,8:00:00,8:00:00,c984
63,8:10:00,8:10:00,c12
64,8:40:00,8:40:00,c984
64,8:50:00,8:50:00,c12
65,10:10:00,10:10:00,c984
65,10:20:00,10:20:00,c12
66,11:30:00,11:30:00,c984
66,11:40:00,11:40:00,c12
67,12:00:00,12:00:00,c984
67,12:10:00,12:10:00,c12
68,13:40:00,13:40:00,c984
68,13:50:00,13:50:00,c12
69,15:00:00,15:00:00,c984
69,15:10:00,15:10:00,c12
70,16:30:00,16:30:00,c984
70,16:40:00,16:40:00,c12
71,17:10:00,17:10:00,c984
71,17:20:00,17:20:00,c12
72,18:30:00,18:30:00,c984
72,18:40:00,18:40:00,c12
73,19:40:00,19:40:00,c984
73,19:50:00,19:50:00,c12
74,21:30:00,21:30:00,c984
74,21:40:00,21:40:00,c12
75,22:30:00,22:30:00,c984
75,22:40:00,22:40:00,c12
76,9:40:00,9:40:00,c984
76,9:50:00,9:50:00,c12
77,10:10:00,10:10:00,c984
77,10:20:00,10:20:00,c12
78,12:00:00,12:00:00,c984
78,12:10:00,12:10:00,c12
79,12:30:00,12:30:00,c984
79,12:40:00,12:40:00,c12
80,13:40:00,13:40:00,c984
80,13:50:00,13:50:00,c12
81,14:30:00,14:30:00,c984
81,14:40:00,14:40:00,c12
82,15:00:00,15:00:00,c984
82,15:10:00,15:10:00,c12
83,16:15:00,16:15:00,c984
83,16:25:00,16:25:00,c12
84,16:45:00,16:45:00,c984
84,16:55:00,16:55:00,c12
85,18:00:00,18:00:00,c984
85,18:10:00,18:10:00,c12
86,18:30:00,18:30:00,c984
86,18:40:00,18:40:00,c12
87,19:50:00,19:50:00,c984
87,20:00:00,20:00:00,c12
88,21:30:00,21:30:00,c984
88,21:40:00,21:40:00,c12
89,0:00:00,0:00:00,c6
89,0:10:00,0:10:00,c29
90,0:45:00,0:45:00,c6
90,0:55:00,0:55:00,c29
91,1:45:00,1:45:00,c6
91,1:55:00,1:55:00,c29
92,2:45:00,2:45:00,c6
92,2:55:00,2:55:00,c29
93,3:45:00,3:45:00,c6
93,3:55:00,3:55:00,c29
94,4:30:00,4:30:00,c6
94,4:40:00,4:40:00,c29
95,5:00:00,5:00:00,c6
95,5:10:00,5:10:00,c29
96,5:15:00,5:15:00,c6
96,5:25:00,5:25:00,c29
97,6:17:00,6:17:00,c6
97,6:27:00,6:27:00,c29
98,5:47:00,5:47:00,c6
98,5:57:00,5:57:00,c29
99,6:02:00,6:02:00,c6
99,6:12:00,6:12:00,c29
100,6:30:00,6:30:00,c6
100,6:40:00,6:40:00,c29
101,6:50:00,6:50:00,c6
101,7:00:00,7:00:00,c29
102,7:12:00,7:12:00,c6
102,7:22:00,7:22:00,c29
103,7:30:00,7:30:00,c6
103,7:40:00,7:40:00,c29
104,8:00:00,8:00:00,c6
104,8:10:00,8:10:00,c29
105,8:15:00,8:15:00,c6
105,8:25:00,8:25:00,c29
106,8:45:00,8:45:00,c6
106,8:55:00,8:55:00,c29
107,9:00:00,9:00:00,c6
107,9:10:00,9:10:00,c29
108,9:15:00,9:15:00,c6
108,9:25:00,9:25:00,c29
109,9:30:00,9:30:00,c6
109,9:40:00,9:40:00,c29
110,9:45:00,9:45:00,c6
110,9:55:00,9:55:00,c29
111,10:00:00,10:00:00,c6
111,10:10:00,10:10:00,c29
112,10:20:00,10:20:00,c6
112,10:30:00,10:30:00,c29
113,10:40:00,10:40:00,c6
113,10:50:00,10:50:00,c29
114,11:00:00,11:00:00,c6
114,11:10:00,11:10:00,c29
115,11:15:00,11:15:00,c6
115,11:25:00,11:25:00,c29
116,11:30:00,11:30:00,c6
116,11:40:00,11:40:00,c29
117,12:15:00,12:15:00,c6
117,12:25:00,12:25:00,c29
118,12:30:00,12:30:00,c6
118,12:40:00,12:40:00,c29
119,12:45:00,12:45:00,c6
119,12:55:00,12:55:00,c29
120,13:02:00,13:02:00,c6
120,13:12:00,13:12:00,c29
121,13:20:00,13:20:00,c6
121,13:30:00,13:30:00,c29
122,13:42:00,13:42:00,c6
122,13:52:00,13:52:00,c29
123,14:00:00,14:00:00,c6
123,14:10:00,14:10:00,c29
124,14:15:00,14:15:00,c6
124,14:25:00,14:25:00,c29
125,14:30:00,14:30:00,c6
125,14:40:00,14:40:00,c29
126,14:45:00,14:45:00,c6
126,14:55:00,14:55:00,c29
127,15:10:00,15:10:00,c6
127,15:20:00,15:20:00,c29
128,15:25:00,15:25:00,c6
128,15:35:00,15:35:00,c29
129,15:45:00,15:45:00,c6
129,15:55:00,15:55:00,c29
130,16:00:00,16:00:00,c6
130,16:10:00,16:10:00,c29
131,16:15:00,16:15:00,c6
131,16:25:00,16:25:00,c29
132,16:30:00,16:30:00,c6
132,16:40:00,16:40:00,c29
133,16:45:00,16:45:00,c6
133,16:55:00,16:55:00,c29
134,17:00:00,17:00:00,c6
134,17:10:00,17:10:00,c29
135,17:25:00,17:25:00,c6
135,17:35:00,17:35:00,c29
136,17:45:00,17:45:00,c6
136,17:55:00,17:55:00,c29
137,18:00:00,18:00:00,c6
137,18:10:00,18:10:00,c29
138,18:17:00,18:17:00,c6
138,18:27:00,18:27:00,c29
139,18:45:00,18:45:00,c6
139,18:55:00,18:55:00,c29
140,19:00:00,19:00:00,c6
140,19:10:00,19:10:00,c29
141,19:30:00,19:30:00,c6
141,19:40:00,19:40:00,c29
142,19:45:00,19:45:00,c6
142,19:55:00,19:55:00,c29
143,20:10:00,20:10:00,c6
143,20:20:00,20:20:00,c29
144,20:30:00,20:30:00,c6
144,20:40:00,20:40:00,c29
145,21:10:00,21:10:00,c6
145,21:20:00,21:20:00,c29
146,21:30:00,21:30:00,c6
146,21:40:00,21:40:00,c29
147,21:45:00,21:45:00,c6
147,21:55:00,21:55:00,c29
148,22:00:00,22:00:00,c6
148,22:10:00,22:10:00,c29
149,22:30:00,22:30:00,c6
149,22:40:00,22:40:00,c29
150,23:05:00,23:05:00,c6
150,23:15:00,23:15:00,c29
151,23:35:00,23:35:00,c6
151,23:45:00,23:45:00,c29
152,0:00:00,0:00:00,c6
152,0:10:00,0:10:00,c29
153,0:45:00,0:45:00,c6
153,0:55:00,0:55:00,c29
154,1:45:00,1:45:00,c6
154,1:55:00,1:55:00,c29
155,2:45:00,2:45:00,c6
155,2:55:00,2:55:00,c29
156,3:45:00,3:45:00,c6
156,3:55:00,3:55:00,c29
157,4:30:00,4:30:00,c6
157,4:40:00,4:40:00,c29
158,5:00:00,5:00:00,c6
158,5:10:00,5:10:00,c29
159,5:15:00,5:15:00,c6
159,5:25:00,5:25:00,c29
160,5:45:00,5:45:00,c6
160,5:55:00,5:55:00,c29
161,6:10:00,6:10:00,c6
161,6:20:00,6:20:00,c29
162,6:25:00,6:25:00,c6
162,6:35:00,6:35:00,c29
163,6:50:00,6:50:00,c6
163,7:00:00,7:00:00,c29
164,7:07:00,7:07:00,c6
164,7:17:00,7:17:00,c29
165,7:30:00,7:30:00,c6
165,7:40:00,7:40:00,c29
166,7:50:00,7:50:00,c6
166,8:00:00,8:00:00,c29
167,8:15:00,8:15:00,c6
167,8:25:00,8:25:00,c29
168,8:40:00,8:40:00,c6
168,8:50:00,8:50:00,c29
169,9:00:00,9:00:00,c6
169,9:10:00,9:10:00,c29
170,9:15:00,9:15:00,c6
170,9:25:00,9:25:00,c29
171,9:30:00,9:30:00,c6
171,9:40:00,9:40:00,c29
172,9:45:00,9:45:00,c6
172,9:55:00,9:55:00,c29
173,10:00:00,10:00:00,c6
173,10:10:00,10:10:00,c29
174,10:20:00,10:20:00,c6
174,10:30:00,10:30:00,c29
175,10:40:00,10:40:00,c6
175,10:50:00,10:50:00,c29
176,11:00:00,11:00:00,c6
