service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20210101,20211231
2,0,0,0,0,1,0,0,20210101,20211231
3,0,0,0,0,0,1,0,20210101,20211231
4,0,0,0,0,0,0,1,20210101,20211231
5,1,1,1,1,1,1,1,20201101,20210418
6,1,1,1,1,1,0,0,20201101,20210418
7,0,0,0,0,0,1,0,20201101,20210418
8,0,0,0,0,0,0,1,20201101,20210418
9,1,1,1,1,1,0,0,20210419,20210531
10,1,1,1,1,0,0,0,20210419,20210531
11,0,0,0,0,1,0,0,20210419,20210531
12,0,0,0,0,0,1,0,20210419,20210531
13,0,0,0,0,0,0,1,20210419,20210531
14,1,1,1,1,1,0,0,20210601,20210831
15,1,1,1,1,0,0,0,20210601,20210831
16,0,0,0,0,1,0,0,20210601,20210831
17,0,0,0,0,0,1,0,20210601,20210831
18,0,0,0,0,0,0,1,20210601,20210831
19,1,1,1,1,1,1,1,20210503,20210530
20,1,1,1,1,1,0,0,20210503,20210530
21,0,0,0,0,0,1,1,20210503,20210530
22,1,1,1,1,1,1,1,20210531,20210611
23,1,1,1,1,1,1,1,20210612,20210831
24,1,1,1,1,1,1,1,20210901,20210930
25,1,1,1,1,1,0,0,20210901,20210930
26,0,1,1,1,1,1,1,20210605,20210829
27,0,0,0,0,1,0,0,20210507,20210606
28,0,0,0,0,0,1,1,20210507,20210606
29,1,1,1,1,1,1,1,20210607,20210822
30,0,0,0,0,1,0,0,20210823,20210919
31,0,0,0,0,0,1,1,20210823,20210919
32,0,1,1,1,1,1,1,20210605,20210808
33,0,0,0,0,0,1,1,20210814,20210829
34,1,1,1,1,1,1,1,20210101,20211231
35,1,1,1,1,1,1,0,20210101,20211231
36,0,0,0,0,1,1,0,20210101,20211231
37,1,1,1,1,1,1,1,20210501,20210528
38,1,1,1,1,1,0,0,20210501,20210528
39,0,0,1,1,1,0,0,20210501,20210528
40,0,0,0,0,0,1,0,20210501,20210528
41,1,1,1,1,1,1,1,20210529,20210702
42,1,1,1,1,1,1,0,20210529,20210702
43,1,1,1,1,1,0,0,20210529,20210702
44,0,0,0,0,1,0,0,20210529,20210702
45,0,0,0,0,0,1,1,20210529,20210702
46,1,1,1,1,1,1,1,20210703,20210829
47,1,1,1,1,1,1,0,20210703,20210829
48,1,1,1,1,1,0,0,20210703,20210829
49,0,0,0,0,1,0,0,20210703,20210829
50,0,0,0,0,0,1,1,20210703,20210829
51,1,1,1,1,1,1,1,20210830,20210930
52,1,1,1,1,1,1,0,20210830,20210930
53,1,1,1,1,1,0,0,20210830,20210930
54,0,0,0,0,1,0,0,20210830,20210930
