service_id,date,exception_type
17,20160328,1

18,20160328,2
19,20160328,1

20,20160328,1

21,20160328,2
22,20160328,1

23,20160328,2
170,20160328,2
171,20160328,2
172,20160328,1

173,20160328,2
174,20160328,2
175,20160328,2
176,20160328,1

177,20160328,2
334,20160328,2
335,20160328,2
336,20160328,2
337,20160328,2
338,20160328,2
339,20160328,2
340,20160328,2
341,20160328,1

391,20160328,2
392,20160328,2
393,20160328,2
394,20160328,2
395,20160328,1

396,20160328,2
397,20160328,1

482,20160328,1

483,20160328,1

24,20160505,2
25,20160505,2
26,20160505,2
27,20160505,1

170,20160505,2
171,20160505,2
172,20160505,1

173,20160505,2
174,20160505,2
175,20160505,2
176,20160505,1

177,20160505,2
334,20160505,2
335,20160505,2
336,20160505,2
337,20160505,2
338,20160505,2
339,20160505,2
340,20160505,2
341,20160505,1

398,20160505,1

399,20160505,2
400,20160505,1

401,20160505,2
402,20160505,2
403,20160505,2
404,20160505,2
405,20160505,1

482,20160505,1

483,20160505,1

28,20160624,2
29,20160624,2
30,20160624,2
31,20160624,1

32,20160624,1

33,20160624,2
170,20160624,2
171,20160624,1

172,20160624,1

173,20160624,1

174,20160624,2
175,20160624,1

176,20160624,1

177,20160624,1

334,20160624,2
335,20160624,2
336,20160624,2
337,20160624,2
338,20160624,2
339,20160624,2
340,20160624,1

341,20160624,2
406,20160624,2
407,20160624,2
408,20160624,1

409,20160624,2
410,20160624,2
482,20160624,1

483,20160624,1

962,20160624,1

963,20160624,2
964,20160624,2
965,20160624,2
966,20160624,2
967,20160624,1

968,20160624,2
969,20160624,2
993,20160624,2
998,20160624,1

1001,20160624,1

1002,20160624,2
28,20160625,2
29,20160625,2
30,20160625,2
31,20160625,1

32,20160625,2
33,20160625,1

170,20160625,2
171,20160625,2
172,20160625,1

173,20160625,2
174,20160625,2
175,20160625,2
176,20160625,1

177,20160625,2
334,20160625,2
335,20160625,2
336,20160625,2
337,20160625,2
338,20160625,2
339,20160625,2
340,20160625,2
341,20160625,1

406,20160625,2
407,20160625,2
408,20160625,2
409,20160625,1

410,20160625,2
482,20160625,1

483,20160625,1

962,20160625,1

963,20160625,2
964,20160625,2
965,20160625,2
966,20160625,2
967,20160625,2
968,20160625,1

969,20160625,2
993,20160625,2
998,20160625,1

1001,20160625,2
1002,20160625,1

