service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20161010,20171231
2,0,0,0,0,1,0,0,20161010,20171231
3,0,0,0,0,0,1,0,20161010,20171231
4,0,0,0,0,0,0,1,20161010,20171231
5,1,1,1,1,1,0,0,20180101,20181231
6,0,0,0,0,1,0,0,20180101,20181231
7,0,0,0,0,0,1,0,20180101,20181231
8,0,0,0,0,0,0,1,20180101,20181231
9,1,1,1,1,1,0,0,20190101,20191231
10,0,0,0,0,1,0,0,20190101,20191231
11,0,0,0,0,0,1,0,20190101,20191231
12,0,0,0,0,0,0,1,20190101,20191231
13,1,1,1,1,1,0,0,20200101,20201231
14,0,0,0,0,1,0,0,20200101,20201231
15,0,0,0,0,0,1,0,20200101,20201231
16,0,0,0,0,0,0,1,20200101,20201231
17,1,1,1,1,1,1,1,20151101,20160417
18,1,1,1,1,1,0,0,20151101,20160417
19,0,0,0,0,0,1,1,20151101,20160417
20,1,1,1,1,1,0,1,20151101,20160417
21,0,0,0,0,0,1,0,20151101,20160417
22,0,0,0,0,0,0,1,20151101,20160417
23,1,1,1,1,1,1,0,20151101,20160417
24,1,1,1,1,0,0,0,20160418,20160531
25,0,0,0,0,1,0,0,20160418,20160531
26,0,0,0,0,0,1,0,20160418,20160531
27,0,0,0,0,0,0,1,20160418,20160531
28,1,1,1,1,1,0,0,20160601,20160831
29,1,1,1,1,0,0,0,20160601,20160831
30,0,0,0,0,1,0,0,20160601,20160831
31,0,0,0,0,0,1,1,20160601,20160831
32,0,0,0,0,0,1,0,20160601,20160831
33,0,0,0,0,0,0,1,20160601,20160831
34,1,1,1,1,0,0,0,20160901,20161030
35,0,0,0,0,1,0,0,20160901,20161030
36,0,0,0,0,0,1,0,20160901,20161030
37,0,0,0,0,0,0,1,20160901,20161030
38,1,1,1,1,0,0,0,20160901,20171231
39,0,0,0,0,1,0,0,20160901,20171231
40,0,0,0,0,0,1,0,20160901,20171231
41,0,0,0,0,0,0,1,20160901,20171231
42,1,1,1,1,1,0,0,20170201,20170416
43,0,0,0,0,0,1,0,20170201,20170416
44,0,0,0,0,0,0,1,20170201,20170416
45,1,1,1,1,1,0,0,20170417,20170531
46,1,1,1,1,0,0,0,20170417,20170531
47,0,0,0,0,1,0,0,20170417,20170531
48,0,0,0,0,0,1,0,20170417,20170531
49,0,0,0,0,0,0,1,20170417,20170531
50,1,1,1,1,1,0,0,20170601,20170831
51,1,1,1,1,0,0,0,20170601,20170831
52,0,0,0,0,1,0,0,20170601,20170831
53,0,0,0,0,0,1,0,20170601,20170831
54,0,0,0,0,0,0,1,20170601,20170831
55,1,1,1,1,1,0,0,20170901,20171031
56,1,1,1,1,0,0,0,20170901,20171031
57,0,0,0,0,1,0,0,20170901,20171031
58,0,0,0,0,0,1,0,20170901,20171031
59,0,0,0,0,0,0,1,20170901,20171031
60,1,1,1,1,1,0,0,20171031,20171231
61,0,0,0,0,0,1,0,20171031,20171231
62,0,0,0,0,0,0,1,20171031,20171231
63,1,1,1,1,1,0,0,20180101,20180415
64,0,0,0,0,0,1,0,20180101,20180415
65,0,0,0,0,0,0,1,20180101,20180415
66,1,1,1,1,1,0,0,20180416,20180531
67,1,1,1,1,0,0,0,20180416,20180531
68,0,0,0,0,1,0,0,20180416,20180531
69,0,0,0,0,0,1,0,20180416,20180531
70,0,0,0,0,0,0,1,20180416,20180531
71,1,1,1,1,1,0,0,20180601,20180831
72,1,1,1,1,0,0,0,20180601,20180831
73,0,0,0,0,1,0,0,20180601,20180831
74,0,0,0,0,0,1,0,20180601,20180831
75,0,0,0,0,0,0,1,20180601,20180831
76,1,1,1,1,1,0,0,20180901,20181030
77,1,1,1,1,0,0,0,20180901,20181030
78,0,0,0,0,1,0,0,20180901,20181030
79,0,0,0,0,0,1,0,20180901,20181030
80,0,0,0,0,0,0,1,20180901,20181030
81,1,1,1,1,1,0,0,20181031,20181231
82,0,0,0,0,0,1,0,20181031,20181231
83,0,0,0,0,0,0,1,20181031,20181231
84,1,1,1,1,1,0,0,20190101,20190414
85,0,0,0,0,0,1,0,20190101,20190414
86,0,0,0,0,0,0,1,20190101,20190414
87,1,1,1,1,1,0,0,20190415,20190531
88,1,1,1,1,0,0,0,20190415,20190531
89,0,0,0,0,1,0,0,20190415,20190531
90,0,0,0,0,0,1,0,20190415,20190531
91,0,0,0,0,0,0,1,20190415,20190531
92,1,1,1,1,1,0,0,20190601,20190831
93,1,1,1,1,0,0,0,20190601,20190831
94,0,0,0,0,1,0,0,20190601,20190831
95,0,0,0,0,0,1,0,20190601,20190831
96,0,0,0,0,0,0,1,20190601,20190831
97,1,1,1,1,1,0,0,20190901,20191031
98,1,1,1,1,0,0,0,20190901,20191031
99,0,0,0,0,1,0,0,20190901,20191031
100,0,0,0,0,0,1,0,20190901,20191031
101,0,0,0,0,0,0,1,20190901,20191031
102,1,1,1,1,1,0,0,20191101,20191231
103,0,0,0,0,0,1,0,20191101,20191231
104,0,0,0,0,0,0,1,20191101,20191231
105,1,1,1,1,1,1,1,20200101,20200416
106,1,1,1,1,1,0,0,20200101,20200416
107,0,0,0,0,0,1,0,20200101,20200416
108,0,0,0,0,0,0,1,20200101,20200416
109,1,1,1,1,1,1,1,20170610,20170731
110,1,1,1,1,1,1,1,20190501,20190531
111,0,0,0,0,0,1,1,20190501,20190531
112,1,1,1,1,1,1,1,20190601,20190623
113,0,0,0,0,0,1,1,20190601,20190623
114,1,1,1,1,1,1,1,20190624,20190811
115,1,1,1,1,1,1,1,20190812,20190831
116,0,0,0,0,0,1,1,20190812,20190831
117,1,1,1,1,1,1,1,20190901,20190930
118,0,1,1,1,1,1,1,20190608,20190811
119,0,0,0,0,0,1,1,20190817,20190901
120,1,1,1,1,1,1,1,20190601,20190831
121,0,0,0,0,0,1,1,20190601,20190620
122,0,0,0,0,0,0,1,20190601,20190620
123,0,0,0,0,0,1,0,20190601,20190620
124,0,1,0,0,0,0,0,20190621,20190811
125,0,0,1,1,1,0,0,20190621,20190811
126,0,0,0,0,1,0,0,20190621,20190811
127,0,0,0,0,0,1,1,20190621,20190811
