service_id,date,exception_type
17,20160328,1

18,20160328,2
19,20160328,1

20,20160328,1

21,20160328,2
22,20160328,1

23,20160328,2
141,20160328,2
142,20160328,2
143,20160328,1

144,20160328,2
145,20160328,2
146,20160328,2
147,20160328,1

148,20160328,2
257,20160328,2
258,20160328,2
259,20160328,2
260,20160328,2
261,20160328,2
262,20160328,2
263,20160328,2
264,20160328,1

306,20160328,2
307,20160328,2
308,20160328,2
309,20160328,2
310,20160328,1

311,20160328,2
312,20160328,1

393,20160328,1

394,20160328,1

24,20160505,2
25,20160505,2
26,20160505,2
27,20160505,1

141,20160505,2
142,20160505,2
143,20160505,1

144,20160505,2
145,20160505,2
146,20160505,2
147,20160505,1

148,20160505,2
257,20160505,2
258,20160505,2
259,20160505,2
260,20160505,2
261,20160505,2
262,20160505,2
263,20160505,2
264,20160505,1

313,20160505,1

314,20160505,2
315,20160505,1

316,20160505,2
317,20160505,2
318,20160505,2
319,20160505,2
320,20160505,1

393,20160505,1

394,20160505,1

28,20160624,2
29,20160624,2
30,20160624,2
31,20160624,1

32,20160624,1

33,20160624,2
141,20160624,2
142,20160624,1

143,20160624,1

144,20160624,1

145,20160624,2
146,20160624,1

147,20160624,1

148,20160624,1

257,20160624,2
258,20160624,2
259,20160624,2
260,20160624,2
261,20160624,2
262,20160624,2
263,20160624,1

264,20160624,2
321,20160624,2
322,20160624,2
323,20160624,1

324,20160624,2
325,20160624,2
393,20160624,1

394,20160624,1

828,20160624,1

829,20160624,2
830,20160624,2
831,20160624,2
832,20160624,2
833,20160624,1

834,20160624,2
835,20160624,2
851,20160624,2
855,20160624,1

862,20160624,1

863,20160624,2
28,20160625,2
29,20160625,2
30,20160625,2
31,20160625,1

32,20160625,2
33,20160625,1

141,20160625,2
142,20160625,2
143,20160625,1

144,20160625,2
145,20160625,2
146,20160625,2
147,20160625,1

148,20160625,2
257,20160625,2
258,20160625,2
259,20160625,2
260,20160625,2
261,20160625,2
262,20160625,2
263,20160625,2
264,20160625,1

321,20160625,2
322,20160625,2
323,20160625,2
324,20160625,1

325,20160625,2
393,20160625,1

394,20160625,1

828,20160625,1

829,20160625,2
830,20160625,2
831,20160625,2
832,20160625,2
833,20160625,2
834,20160625,1

835,20160625,2
851,20160625,2
855,20160625,1

862,20160625,2
863,20160625,1

