trip_id,start_time,end_time,headway_secs
32951,00:00:00,08:40:00,1800
32952,09:00:00,11:40:00,1800
32953,12:00:00,16:30:00,1800
32954,16:50:00,19:40:00,1800
32955,20:00:00,24:00:00,1800
32956,00:00:00,07:25:00,1800
32957,07:42:00,09:25:00,1800
32958,09:50:00,12:25:00,1800
32959,12:42:00,16:25:00,1800
32960,16:42:00,18:25:00,1800
32961,18:50:00,21:25:00,1800
32962,21:42:00,24:00:00,1800
32963,00:00:00,08:45:00,1800
32964,09:05:00,11:30:00,1800
32965,11:50:00,16:45:00,1800
32966,17:05:00,19:30:00,1800
32967,19:50:00,24:00:00,1800
32968,00:00:00,09:00:00,1800
32969,09:20:00,12:00:00,1800
32970,12:20:00,17:00:00,1800
32971,17:20:00,20:00:00,1800
32972,20:20:00,24:00:00,1800
32973,07:00:00,19:00:00,1800
32974,07:00:00,21:00:00,1800
32975,08:00:00,12:00:00,1800
32976,15:00:00,17:00:00,1800
32977,10:00:00,20:00:00,1800
32978,00:00:00,08:30:00,1800
32979,08:50:00,11:30:00,1800
32980,11:50:00,16:30:00,1800
32981,16:50:00,19:30:00,1800
32982,19:50:00,24:00:00,1800
32983,00:00:00,09:00:00,1800
32984,09:20:00,11:40:00,1800
32985,12:00:00,17:00:00,1800
32986,17:20:00,19:30:00,1800
32987,19:50:00,24:00:00,1800
32988,07:00:00,09:00:00,1800
32989,09:20:00,11:00:00,1800
32990,11:20:00,14:00:00,1800
32991,14:20:00,17:00:00,1800
32992,17:20:00,19:00:00,1800
32993,19:20:00,19:30:00,1800
32994,07:00:00,09:00:00,1800
32995,09:20:00,11:00:00,1800
32996,11:20:00,14:00:00,1800
32997,14:20:00,17:00:00,1800
32998,17:20:00,19:00:00,1800
32999,19:20:00,21:00:00,1800
33000,08:00:00,09:00:00,1800
33001,09:20:00,11:00:00,1800
33002,11:20:00,14:00:00,1800
33003,14:20:00,17:00:00,1800
33004,17:20:00,19:00:00,1800
33005,19:20:00,19:30:00,1800
33006,06:00:00,10:00:00,1800
33007,10:30:00,18:00:00,1800
33008,18:30:00,22:00:00,1800
33009,08:00:00,10:00:00,1800
33010,10:30:00,18:00:00,1800
33011,18:30:00,21:00:00,1800
33012,00:00:00,09:00:00,1800
33013,09:20:00,12:00:00,1800
33014,12:20:00,17:00:00,1800
33015,17:20:00,20:00:00,1800
33016,20:20:00,24:00:00,1800
33017,00:00:00,09:00:00,1800
33018,09:20:00,11:30:00,1800
33019,11:50:00,16:30:00,1800
33020,16:50:00,19:30:00,1800
33021,19:50:00,24:00:00,1800
33022,00:00:00,09:00:00,1800
33023,09:20:00,11:00:00,1800
33024,11:20:00,16:45:00,1800
33025,17:05:00,19:15:00,1800
33026,19:35:00,24:00:00,1800
33027,06:00:00,08:30:00,1800
33028,08:50:00,11:30:00,1800
33029,11:50:00,16:30:00,1800
33030,16:50:00,19:30:00,1800
33031,19:50:00,22:00:00,1800
33032,09:00:00,12:00:00,1800
33033,12:20:00,18:00:00,1800
33034,18:20:00,22:00:00,1800
33035,00:00:00,09:00:00,1800
33036,09:20:00,11:40:00,1800
33037,12:00:00,17:00:00,1800
33038,17:20:00,19:40:00,1800
33039,20:00:00,24:00:00,1800
33040,00:00:00,09:00:00,1800
33041,09:20:00,11:00:00,1800
33042,11:20:00,16:00:00,1800
33043,16:20:00,19:00:00,1800
33044,19:20:00,24:00:00,1800
33045,06:00:00,08:30:00,1800
33046,07:00:00,08:30:00,1800
33047,08:00:00,08:30:00,1800
33048,08:50:00,11:00:00,1800
33049,11:30:00,16:30:00,1800
33050,16:50:00,19:00:00,1800
33051,19:30:00,21:55:00,1800
33052,06:00:00,08:30:00,1800
33053,08:50:00,11:30:00,1800
33054,11:50:00,16:30:00,1800
33055,16:50:00,19:30:00,1800
33056,19:50:00,22:00:00,1800
33057,06:00:00,08:30:00,1800
33058,08:50:00,11:30:00,1800
33059,11:50:00,16:30:00,1800
33060,16:50:00,19:30:00,1800
33061,19:50:00,22:00:00,1800
33062,09:00:00,12:00:00,1800
33063,12:20:00,18:00:00,1800
33064,18:20:00,22:00:00,1800
33065,00:00:00,09:10:00,1800
33066,09:30:00,11:40:00,1800
33067,12:00:00,17:10:00,1800
33068,17:30:00,20:10:00,1800
33069,20:30:00,24:00:00,1800
33070,07:30:00,19:30:00,1800
33071,00:00:00,08:30:00,1800
33072,08:50:00,11:00:00,1800
33073,11:20:00,17:00:00,1800
33074,17:20:00,19:30:00,1800
33075,19:50:00,24:00:00,1800
33076,00:00:00,09:10:00,1800
33077,09:30:00,11:40:00,1800
33078,12:00:00,17:10:00,1800
33079,17:30:00,19:30:00,1800
33080,19:50:00,24:00:00,1800
