trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,6:10:00,6:10:00,9187,1,Dalen (Iniö),,,
1,6:20:00,6:20:00,9146,2,Keistiö,,,
2,7:05:00,7:05:00,9187,1,Dalen (Iniö),,,
2,7:15:00,7:15:00,9146,2,Keistiö,,,
3,7:45:00,7:45:00,9187,1,Dalen (Iniö),,,
3,7:55:00,7:55:00,9146,2,Keistiö,,,
4,8:15:00,8:15:00,9187,1,Dalen (Iniö),,,
4,8:25:00,8:25:00,9146,2,Keistiö,,,
5,9:10:00,9:10:00,9187,1,Dalen (Iniö),,,
5,9:20:00,9:20:00,9146,2,Keistiö,,,
6,11:15:00,11:15:00,9187,1,Dalen (Iniö),,,
6,11:25:00,11:25:00,9146,2,Keistiö,,,
7,11:45:00,11:45:00,9187,1,Dalen (Iniö),,,
7,11:55:00,11:55:00,9146,2,Keistiö,,,
8,13:00:00,13:00:00,9187,1,Dalen (Iniö),,,
8,13:10:00,13:10:00,9146,2,Keistiö,,,
9,14:30:00,14:30:00,9187,1,Dalen (Iniö),,,
9,14:40:00,14:40:00,9146,2,Keistiö,,,
10,15:15:00,15:15:00,9187,1,Dalen (Iniö),,,
10,15:25:00,15:25:00,9146,2,Keistiö,,,
11,16:15:00,16:15:00,9187,1,Dalen (Iniö),,,
11,16:25:00,16:25:00,9146,2,Keistiö,,,
12,16:45:00,16:45:00,9187,1,Dalen (Iniö),,,
12,16:55:00,16:55:00,9146,2,Keistiö,,,
13,17:20:00,17:20:00,9187,1,Dalen (Iniö),,,
13,17:30:00,17:30:00,9146,2,Keistiö,,,
14,19:00:00,19:00:00,9187,1,Dalen (Iniö),,,
14,19:10:00,19:10:00,9146,2,Keistiö,,,
15,19:50:00,19:50:00,9187,1,Dalen (Iniö),,,
15,20:00:00,20:00:00,9146,2,Keistiö,,,
16,21:45:00,21:45:00,9187,1,Dalen (Iniö),,,
16,21:55:00,21:55:00,9146,2,Keistiö,,,
17,22:45:00,22:45:00,9187,1,Dalen (Iniö),,,
17,22:55:00,22:55:00,9146,2,Keistiö,,,
18,7:45:00,7:45:00,9187,1,Dalen (Iniö),,,
18,7:55:00,7:55:00,9146,2,Keistiö,,,
19,8:15:00,8:15:00,9187,1,Dalen (Iniö),,,
19,8:25:00,8:25:00,9146,2,Keistiö,,,
20,9:10:00,9:10:00,9187,1,Dalen (Iniö),,,
20,9:20:00,9:20:00,9146,2,Keistiö,,,
21,11:15:00,11:15:00,9187,1,Dalen (Iniö),,,
21,11:25:00,11:25:00,9146,2,Keistiö,,,
22,11:45:00,11:45:00,9187,1,Dalen (Iniö),,,
22,11:55:00,11:55:00,9146,2,Keistiö,,,
23,13:00:00,13:00:00,9187,1,Dalen (Iniö),,,
23,13:10:00,13:10:00,9146,2,Keistiö,,,
24,14:30:00,14:30:00,9187,1,Dalen (Iniö),,,
24,14:40:00,14:40:00,9146,2,Keistiö,,,
25,16:15:00,16:15:00,9187,1,Dalen (Iniö),,,
25,16:25:00,16:25:00,9146,2,Keistiö,,,
26,16:45:00,16:45:00,9187,1,Dalen (Iniö),,,
26,16:55:00,16:55:00,9146,2,Keistiö,,,
27,17:20:00,17:20:00,9187,1,Dalen (Iniö),,,
27,17:30:00,17:30:00,9146,2,Keistiö,,,
28,19:00:00,19:00:00,9187,1,Dalen (Iniö),,,
28,19:10:00,19:10:00,9146,2,Keistiö,,,
29,19:50:00,19:50:00,9187,1,Dalen (Iniö),,,
29,20:00:00,20:00:00,9146,2,Keistiö,,,
30,21:45:00,21:45:00,9187,1,Dalen (Iniö),,,
