service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
13,1,1,1,1,1,0,0,20200101,20201231
14,0,0,0,0,1,0,0,20200101,20201231
15,0,0,0,0,0,1,0,20200101,20201231
16,0,0,0,0,0,0,1,20200101,20201231
105,1,1,1,1,1,1,1,20200101,20200416
106,1,1,1,1,1,0,0,20200101,20200416
107,0,0,0,0,0,1,0,20200101,20200416
108,0,0,0,0,0,0,1,20200101,20200416
109,1,1,1,1,1,0,0,20200417,20200531
110,1,1,1,1,0,0,0,20200417,20200531
111,0,0,0,0,1,0,0,20200417,20200531
112,0,0,0,0,0,1,0,20200417,20200531
113,0,0,0,0,0,0,1,20200417,20200531
114,1,1,1,1,1,0,0,20200601,20200830
115,1,1,1,1,0,0,0,20200601,20200830
116,0,0,0,0,1,0,0,20200601,20200830
117,0,0,0,0,0,1,0,20200601,20200830
118,0,0,0,0,0,0,1,20200601,20200830
128,1,1,1,1,1,1,1,20200601,20200619
129,0,0,0,0,0,1,1,20200601,20200619
130,1,1,1,1,1,1,1,20200620,20200809
131,1,1,1,1,1,1,1,20200810,20200831
132,0,0,0,0,0,1,1,20200810,20200831
133,1,1,1,1,1,1,1,20200901,20200930
137,1,1,1,1,1,1,1,20200601,20200831
150,0,0,0,0,0,1,0,20200601,20200613
151,0,1,0,0,0,0,0,20200619,20200809
152,0,0,1,1,1,0,0,20200619,20200809
153,0,0,0,0,0,1,1,20200619,20200809
154,0,0,0,0,0,1,1,20200815,20200830
155,0,0,0,0,0,1,0,20200905,20200913
162,1,1,1,1,1,1,1,20200601,20200809
163,0,0,0,0,1,0,0,20200810,20200830
164,0,0,0,0,0,1,1,20200810,20200830
165,0,0,0,0,1,0,0,20200905,20200913
166,0,0,0,0,0,1,1,20200905,20200913
168,0,1,1,1,1,1,1,20200606,20200809
188,1,1,1,1,1,1,1,20200101,20201231
189,1,1,1,1,1,1,0,20200101,20201231
190,0,0,0,0,1,1,0,20200101,20201231
209,1,1,1,1,1,1,1,20200601,20200626
210,1,1,1,1,1,1,0,20200601,20200626
211,1,1,1,1,1,0,0,20200601,20200626
212,1,1,1,1,1,1,1,20200627,20200816
213,1,1,1,1,1,1,0,20200627,20200816
214,1,1,1,1,1,0,0,20200627,20200816
215,1,1,1,1,1,1,1,20200817,20200830
216,1,1,1,1,1,1,0,20200817,20200830
217,1,1,1,1,1,0,0,20200817,20200830
218,1,1,1,1,1,1,1,20200831,20200913
219,1,1,1,1,1,1,0,20200831,20200913
220,1,1,1,1,1,0,0,20200831,20200913
221,1,1,1,1,1,1,1,20200914,20200927
222,1,1,1,1,1,0,0,20200914,20200927
223,0,1,0,0,0,0,0,20200914,20200927
224,0,0,1,1,1,0,0,20200914,20200927
225,0,0,0,0,0,1,0,20200914,20200927
262,1,1,1,1,1,1,1,20200601,20200925
263,1,1,1,1,1,1,1,20200926,20201031
264,0,0,0,0,0,1,1,20200926,20201031
269,1,1,1,1,1,1,1,20200608,20200915
270,1,1,1,1,1,1,0,20200608,20200915
271,0,0,0,0,0,0,1,20200608,20200915
274,1,1,1,1,1,1,1,20200601,20200830
275,1,1,1,1,1,1,1,20200905,20200906
277,1,1,1,1,1,1,1,20200101,20211231
279,1,1,1,1,1,1,1,20200613,20200809
281,0,0,0,0,0,1,1,20200901,20200930
282,0,0,0,1,0,0,0,20201001,20201011
283,0,0,0,0,1,0,0,20201001,20201011
284,0,0,0,0,0,1,1,20201001,20201011
285,0,0,0,0,0,1,1,20201017,20201031
286,0,0,0,0,0,1,1,20201101,20201115
291,0,0,1,1,1,0,0,20200617,20200726
292,0,0,0,0,0,1,1,20200617,20200726
293,0,0,0,0,0,1,1,20200801,20200830
307,0,0,1,0,0,0,0,20200515,20200621
308,0,0,0,0,0,1,0,20200515,20200621
309,0,0,0,0,0,0,1,20200515,20200621
310,0,0,0,0,1,0,0,20200515,20200621
311,0,1,0,0,0,0,0,20200622,20200809
312,0,0,1,0,0,0,0,20200622,20200809
313,0,0,0,1,0,0,0,20200622,20200809
314,0,0,0,0,1,0,0,20200622,20200809
315,0,0,0,0,0,1,1,20200622,20200809
316,0,0,1,0,0,0,0,20200810,20200913
317,0,0,0,0,0,1,0,20200810,20200913
318,0,0,0,0,0,0,1,20200810,20200913
319,0,0,0,0,1,0,0,20200810,20200913
325,1,1,1,1,1,1,1,20180101,20200220
326,1,1,1,1,1,1,1,20200221,20201231
330,1,1,1,1,1,0,0,20180101,20200131
331,0,0,0,0,0,1,1,20180101,20200131
332,1,1,1,1,1,0,0,20200201,20201231
333,0,0,0,0,0,1,1,20200201,20201231
375,1,1,1,1,1,0,0,20200101,20200430
376,1,1,0,0,0,0,0,20200101,20200430
377,1,0,1,0,1,0,0,20200101,20200430
378,0,0,1,0,0,0,0,20200101,20200430
379,0,0,0,1,0,0,0,20200101,20200430
380,0,0,0,0,1,0,0,20200101,20200430
381,0,0,0,0,0,1,0,20200101,20200430
382,0,0,0,0,0,0,1,20200101,20200430
383,1,1,1,1,1,0,0,20200501,20200930
384,1,1,0,0,0,0,0,20200501,20200930
385,1,0,1,0,1,0,0,20200501,20200930
386,0,0,1,0,0,0,0,20200501,20200930
387,0,0,0,1,0,0,0,20200501,20200930
388,0,0,0,0,1,0,0,20200501,20200930
389,0,0,0,0,0,1,0,20200501,20200930
390,0,0,0,0,0,0,1,20200501,20200930
469,1,1,1,1,1,0,0,20200101,20200614
470,1,0,1,0,1,0,0,20200101,20200614
471,0,1,0,1,0,0,0,20200101,20200614
472,0,0,0,0,0,1,0,20200101,20200614
473,0,0,0,0,0,0,1,20200101,20200614
474,1,1,1,1,1,1,1,20200615,20200809
475,1,1,1,1,1,1,0,20200615,20200809
476,1,1,1,1,1,0,0,20200615,20200809
477,0,0,0,0,0,0,1,20200615,20200809
481,0,0,0,0,0,1,1,20200101,20201231
548,1,1,1,1,1,1,1,20200101,20200604
549,1,1,1,1,1,0,0,20200101,20200604
550,1,1,1,1,1,1,1,20200605,20200617
551,1,1,1,1,1,0,0,20200605,20200617
552,1,1,1,1,0,0,0,20200605,20200617
553,0,0,0,0,1,0,0,20200605,20200617
554,0,0,0,0,0,1,1,20200605,20200617
555,1,1,1,1,1,1,1,20200618,20200811
556,1,1,1,1,1,0,0,20200618,20200811
575,1,1,0,0,0,0,0,20200101,20201231
576,0,0,1,0,0,0,0,20200101,20201231
577,0,0,0,1,0,0,0,20200101,20201231
615,1,1,1,1,1,0,0,20190810,20200530
616,1,1,1,1,0,0,0,20190810,20200530
617,0,1,0,0,0,0,0,20190810,20200530
618,0,0,1,0,0,0,0,20190810,20200530
619,0,0,0,0,1,0,0,20190810,20200530
620,0,1,1,0,0,0,0,20200601,20200809
621,0,0,0,0,1,0,0,20200601,20200809
622,0,0,0,0,0,0,1,20200601,20200809
636,0,1,1,0,0,0,0,20190810,20200530
637,1,0,0,0,0,0,0,20200601,20200809
638,0,0,0,1,0,0,0,20200601,20200809
676,1,0,0,0,0,0,0,20191001,20200430
677,0,1,0,0,0,0,0,20191001,20200430
678,0,0,0,1,0,0,0,20191001,20200430
679,0,0,0,0,1,0,0,20191001,20200430
680,0,0,0,0,0,0,1,20191001,20200430
681,1,0,1,0,0,0,0,20200501,20200930
682,1,0,0,0,0,0,0,20200501,20200930
683,0,1,0,0,0,0,0,20200501,20200930
687,0,0,1,1,0,0,0,20200501,20200930
727,0,1,0,0,0,0,0,20190902,20200514
728,0,0,1,0,0,0,0,20190902,20200514
729,0,0,0,1,0,0,0,20190902,20200514
730,0,0,0,0,1,0,0,20190902,20200514
731,0,0,0,0,0,1,0,20190902,20200514
732,0,0,0,0,0,0,1,20190902,20200514
733,0,1,0,0,0,0,0,20200515,20200531
734,0,0,1,0,0,0,0,20200515,20200531
735,0,0,0,1,0,0,0,20200515,20200531
736,0,0,0,0,1,0,0,20200515,20200531
737,0,0,0,0,0,1,0,20200515,20200531
738,0,0,0,0,0,0,1,20200515,20200531
739,1,0,1,0,1,0,0,20200601,20200901
740,0,1,0,1,0,0,0,20200601,20200901
741,0,0,0,0,1,0,0,20200601,20200901
742,0,0,0,0,0,1,0,20200601,20200901
743,0,0,0,0,0,0,1,20200601,20200901
751,1,0,0,0,0,0,0,20190902,20200514
752,1,0,0,0,0,0,0,20200515,20200531
753,1,1,1,1,1,1,0,20200601,20200901
784,1,1,1,1,1,0,0,20191101,20200331
785,1,1,1,1,0,0,0,20191101,20200331
786,0,0,0,0,1,0,0,20191101,20200331
787,0,0,0,0,0,1,1,20191101,20200331
788,1,1,1,1,1,1,1,20200601,20200816
789,1,1,1,1,1,0,0,20200601,20200816
790,0,0,0,0,0,1,1,20200601,20200816
817,1,0,0,0,0,0,0,20190901,20200605
818,0,0,1,0,0,0,0,20190901,20200605
819,0,0,0,0,1,0,0,20190901,20200605
820,0,0,0,0,0,1,0,20190901,20200605
821,0,0,0,0,0,0,1,20190901,20200605
822,1,1,0,0,0,0,0,20200606,20200831
823,0,0,1,0,0,0,0,20200606,20200831
824,0,0,0,0,1,0,0,20200606,20200831
825,0,0,0,0,0,1,0,20200606,20200831
826,0,0,0,0,0,0,1,20200606,20200831
832,0,0,0,1,0,0,0,20190901,20200605
833,0,0,0,1,0,0,0,20200606,20200831
863,1,1,1,1,1,0,0,20190902,20200430
864,1,1,0,0,0,0,0,20190902,20200430
865,0,0,1,0,0,0,0,20190902,20200430
866,0,0,0,1,0,0,0,20190902,20200430
867,0,0,0,0,1,0,0,20190902,20200430
868,0,0,0,0,0,1,0,20190902,20200430
869,0,0,0,0,0,0,1,20190902,20200430
870,1,1,1,1,1,0,0,20200501,20200531
871,1,1,0,0,0,0,0,20200501,20200531
872,0,0,1,0,0,0,0,20200501,20200531
873,0,0,0,1,0,0,0,20200501,20200531
874,0,0,0,0,1,0,0,20200501,20200531
875,0,0,0,0,0,1,0,20200501,20200531
876,0,0,0,0,0,0,1,20200501,20200531
877,1,1,1,1,1,1,1,20200601,20200901
878,1,1,1,1,1,0,0,20200601,20200901
879,0,0,1,0,0,0,0,20200601,20200901
939,1,1,1,1,1,1,0,20200101,20200430
940,1,0,0,0,0,0,0,20200101,20200430
941,0,1,1,0,0,0,0,20200101,20200430
942,1,1,1,1,1,1,1,20200501,20200930
943,1,1,1,1,1,1,0,20200501,20200930
959,0,0,1,1,1,0,0,20200101,20200430
960,0,1,0,0,0,0,0,20200101,20200430
961,0,0,0,0,0,1,1,20200501,20200930
985,1,1,1,1,1,1,1,20200515,20200830
