trip_id,start_time,end_time,headway_secs
35786,00:00:00,08:40:00,1800
35787,09:00:00,11:40:00,1800
35788,12:00:00,16:30:00,1800
35789,16:50:00,19:40:00,1800
35790,20:00:00,24:00:00,1800
35791,00:00:00,07:25:00,1800
35792,07:42:00,09:25:00,1800
35793,09:50:00,12:25:00,1800
35794,12:42:00,16:25:00,1800
35795,16:42:00,18:25:00,1800
35796,18:50:00,21:25:00,1800
35797,21:42:00,24:00:00,1800
35798,00:00:00,08:45:00,1800
35799,09:05:00,11:30:00,1800
35800,11:50:00,16:45:00,1800
35801,17:05:00,19:30:00,1800
35802,19:50:00,24:00:00,1800
35803,00:00:00,09:00:00,1800
35804,09:20:00,12:00:00,1800
35805,12:20:00,17:00:00,1800
35806,17:20:00,20:00:00,1800
35807,20:20:00,24:00:00,1800
35808,07:00:00,19:00:00,1800
35809,07:00:00,21:00:00,1800
35810,08:00:00,12:00:00,1800
35811,15:00:00,17:00:00,1800
35812,10:00:00,20:00:00,1800
35813,00:00:00,08:30:00,1800
35814,08:50:00,11:30:00,1800
35815,11:50:00,16:30:00,1800
35816,16:50:00,19:30:00,1800
35817,19:50:00,24:00:00,1800
35818,00:00:00,09:00:00,1800
35819,09:20:00,11:40:00,1800
35820,12:00:00,17:00:00,1800
35821,17:20:00,19:30:00,1800
35822,19:50:00,24:00:00,1800
35823,07:00:00,09:00:00,1800
35824,09:20:00,11:00:00,1800
35825,11:20:00,14:00:00,1800
35826,14:20:00,17:00:00,1800
35827,17:20:00,19:00:00,1800
35828,19:20:00,19:30:00,1800
35829,07:00:00,09:00:00,1800
35830,09:20:00,11:00:00,1800
35831,11:20:00,14:00:00,1800
35832,14:20:00,17:00:00,1800
35833,17:20:00,19:00:00,1800
35834,19:20:00,21:00:00,1800
35835,08:00:00,09:00:00,1800
35836,09:20:00,11:00:00,1800
35837,11:20:00,14:00:00,1800
35838,14:20:00,17:00:00,1800
35839,17:20:00,19:00:00,1800
35840,19:20:00,19:30:00,1800
35841,06:00:00,10:00:00,1800
35842,10:30:00,18:00:00,1800
35843,18:30:00,22:00:00,1800
35844,08:00:00,10:00:00,1800
35845,10:30:00,18:00:00,1800
35846,18:30:00,21:00:00,1800
35847,00:00:00,09:00:00,1800
35848,09:20:00,12:00:00,1800
35849,12:20:00,17:00:00,1800
35850,17:20:00,20:00:00,1800
35851,20:20:00,24:00:00,1800
35852,00:00:00,09:00:00,1800
35853,09:20:00,11:30:00,1800
35854,11:50:00,16:30:00,1800
35855,16:50:00,19:30:00,1800
35856,19:50:00,24:00:00,1800
35857,00:00:00,09:00:00,1800
35858,09:20:00,11:00:00,1800
35859,11:20:00,16:45:00,1800
35860,17:05:00,19:15:00,1800
35861,19:35:00,24:00:00,1800
35862,06:00:00,08:30:00,1800
35863,08:50:00,11:30:00,1800
35864,11:50:00,16:30:00,1800
35865,16:50:00,19:30:00,1800
35866,19:50:00,22:00:00,1800
35867,09:00:00,12:00:00,1800
35868,12:20:00,18:00:00,1800
35869,18:20:00,22:00:00,1800
35870,00:00:00,09:00:00,1800
35871,09:20:00,11:40:00,1800
35872,12:00:00,17:00:00,1800
35873,17:20:00,19:40:00,1800
35874,20:00:00,24:00:00,1800
35875,00:00:00,09:00:00,1800
35876,09:20:00,11:00:00,1800
35877,11:20:00,16:00:00,1800
35878,16:20:00,19:00:00,1800
35879,19:20:00,24:00:00,1800
35880,06:00:00,08:30:00,1800
35881,07:00:00,08:30:00,1800
35882,08:00:00,08:30:00,1800
35883,08:50:00,11:00:00,1800
35884,11:30:00,16:30:00,1800
35885,16:50:00,19:00:00,1800
35886,19:30:00,21:55:00,1800
35887,06:00:00,08:30:00,1800
35888,08:50:00,11:30:00,1800
35889,11:50:00,16:30:00,1800
35890,16:50:00,19:30:00,1800
35891,19:50:00,22:00:00,1800
35892,06:00:00,08:30:00,1800
35893,08:50:00,11:30:00,1800
35894,11:50:00,16:30:00,1800
35895,16:50:00,19:30:00,1800
35896,19:50:00,22:00:00,1800
35897,09:00:00,12:00:00,1800
35898,12:20:00,18:00:00,1800
35899,18:20:00,22:00:00,1800
35900,00:00:00,09:10:00,1800
35901,09:30:00,11:40:00,1800
35902,12:00:00,17:10:00,1800
35903,17:30:00,20:10:00,1800
35904,20:30:00,24:00:00,1800
35905,07:30:00,19:30:00,1800
35906,00:00:00,08:30:00,1800
35907,08:50:00,11:00:00,1800
35908,11:20:00,17:00:00,1800
35909,17:20:00,19:30:00,1800
35910,19:50:00,24:00:00,1800
35911,00:00:00,09:10:00,1800
35912,09:30:00,11:40:00,1800
35913,12:00:00,17:10:00,1800
35914,17:30:00,19:30:00,1800
35915,19:50:00,24:00:00,1800
