stop_id,stop_name,stop_lon,stop_lat,geohash
2,Parainen (keskusta),22.30131,60.30667,u6xz
5,Nauvo (keskusta),21.90925,60.19270,u6xw
16,Taivassalo,21.60325,60.56449,u6z2
17,Merimasku,21.91350,60.45874,u6xx
18,Naantali,22.03037,60.46380,u6xx
23,Rymättylä,21.94708,60.37351,u6xx
24,Korppoo (keskusta),21.56219,60.16282,u6xq
26,Galtby tienhaara (Korppoo),21.59370,60.17907,u6xq
27,Träsk (Houtskari),21.34276,60.21359,u6xn
36,Mietoinen,21.91602,60.61727,u6z8
37,Lieranta,21.86524,60.50735,u6z8
572,Åva (Brändö),21.05598,60.50289,u6yb
573,Vuosnainen (Kustavi),21.24713,60.50725,u6z0
574,Jurmo,21.07432,60.51614,u6yb
575,Lappo I,20.99573,60.31745,u6wz
576,Asterholma,21.03483,60.30431,u6wz
577,Björkö,20.94136,60.31103,u6wz
578,Kumlinge,20.78939,60.29051,u6wy
579,Enklinge,20.75129,60.31824,u6wz
580,Snäckö,20.72639,60.21935,u6ww
581,Seglinge,20.70974,60.21530,u6ww
582,Sottunga,20.68211,60.11004,u6wt
583,Husö,20.80742,60.06501,u6wv
584,Kyrkogårdsö,20.82510,60.03043,u6wv
585,Kökar,20.89308,59.94659,u6wv
586,Överö P,20.51066,60.11145,u6wt
587,Bergö,20.39294,60.16274,u6ww
588,Svinö,20.26536,60.06687,u6wm
589,Degerby (Föglö),20.38655,60.03174,u6wm
590,Hummelvik (Vårdö),20.41328,60.22460,u6ww
591,Lappo L,20.95230,60.31135,u6wz
592,Överö E,20.52714,60.07662,u6wt
593,Embarsund,20.52632,60.07430,u6wt
594,Ängö,20.29458,60.15402,u6wq
595,Långnäs P,20.28917,60.15313,u6wq
596,Sandö,20.37359,60.32079,u6wr
597,Simskäla,20.36522,60.33162,u6wr
598,Prästö,20.27209,60.20814,u6wq
599,Töftö,20.27784,60.20592,u6wq
600,Torsholma L,21.03779,60.35719,u6wz
601,Maarianhamina,19.92800,60.09246,u6wj
602,Hammarland,19.73994,60.21654,u6wn
603,Eckerö,19.53644,60.22549,u6ty
604,Godby,19.99047,60.23166,u6wn
605,Geta,19.84621,60.37743,u6wp
606,Saltvik,20.06196,60.27574,u6wq
607,Sund,20.08318,60.23811,u6wq
608,Lemland,20.08739,60.06910,u6wm
611,Risteys Svinövägen,20.25720,60.08591,u6wm
612,Risteys Stickvägen,20.27222,60.10918,u6wm
613,Risteys Vårdö,20.37354,60.24250,u6wq
617,Risteys Sund,20.04142,60.24607,u6wq
618,Risteys Maarianhamina,19.93383,60.11391,u6wj
620,Risteys Kustavintie,21.39231,60.54656,u6z0
621,Risteys Iniöntie,21.45716,60.53639,u6z2
9216,Vaala,26.89824,64.34078,ue7n
9217,Rääkkylä,29.56666,62.39058,uej4
9214,Tirmo,25.89906,60.24652,uddq
9215,Huikku (Hailuoto),25.06797,65.03748,ue9c
9212,Kuparonvirta,27.84979,61.55486,udgy
9213,Puutossalmi,27.75578,62.72235,ue5s
9210,Puumala,28.17084,61.45293,uduj
9211,Kortesalmi,27.84007,62.90561,ue5v
9264,Maisaari,21.89396,60.33219,u6xx
9265,Grönvik,22.59170,59.95782,ud8j
9218,Lamposaari,28.31670,61.09632,udu5
9219,Ruokolahti,28.34218,61.33002,uduh
9133,Pensar I,22.13696,60.14801,u6xw
9132,Ramsholm,22.18411,60.16999,u6xy
9131,Kuggö,22.16133,60.14801,u6xy
9130,Heisala,22.25901,60.17719,u6xy
9137,Samsaari,21.82696,60.31843,u6xx
9136,Ruotsalainen,21.76470,60.36786,u6xr
9135,Pakinainen,21.68774,60.35513,u6xr
9134,Korvenmaa,21.68108,60.36528,u6xr
995,Brunskär,21.50115,60.04200,u6xm
9139,Munninmaa,21.68130,60.42041,u6xr
9138,Lailuoto,21.66654,60.45491,u6xr
9225,Högsåra,22.36920,59.95463,u6xv
9250,Esthamn,25.53676,60.23959,uddn
992,Åselholm,21.22011,60.41551,u6xp
9223,Svartnäs,22.39523,59.94913,u6xv
928,Kalkkiranta,25.39166,60.25276,uddn
929,Spjutsund,25.51057,60.27267,uddn
9222,Olofsnäs (Norrskata),21.55870,60.21653,u6xq
9289,Gumbostrand,25.29410,60.25556,ud9y
9221,Hirvisalmi (saari),29.32563,63.27833,uehz
9281,Granö,25.23837,60.23351,ud9y
9280,Kamsholmen,25.26276,60.22094,ud9y
9283,Opanholmen,25.29149,60.24368,ud9y
9220,Enonkoski,28.97394,62.14808,ueh9
9285,Box-Hangelby strand,25.38200,60.26886,uddn
9287,Mattesö,25.32304,60.25936,uddn
9286,Eriksnäs,25.34635,60.26905,uddn
966,Stora Ängesö,22.50626,59.94969,ud8j
9522,Pietolansaari,28.95010,61.66847,uduw
9120,Peno,22.10190,60.14548,u6xw
9121,Pensar L,22.10984,60.15115,u6xw
9122,Rockelholm,21.88841,60.09985,u6xt
9123,Sandholm,21.80932,59.90403,u6xs
9124,Stenskär,22.04894,60.07130,u6xt
9126,Trunsö,21.77262,59.88239,u6xk
9127,Träskholm,21.74237,59.91343,u6xk
9128,Ängsö,21.72365,60.10421,u6xm
9129,Björkholm,22.23604,60.18520,u6xy
9269,Östra Norrkullalandet,25.36876,60.23543,uddn
969,Vänoxa,22.60884,59.97020,ud8j
991,Ytterstö,21.26437,60.31594,u6xp
9534,Ulkoluoto (Särkisalo),22.91457,60.04137,ud8m
9276,Björkholmen,25.31506,60.23574,uddn
993,Åvensor,21.57872,60.29823,u6xr
9537,Mietinsaari,28.59906,61.24370,uduk
9536,Sandö,22.06877,60.18113,u6xw
9535,Lillandet E (Nauvo),22.06418,60.17999,u6xw
963,Biskopsö,22.55970,59.97110,ud8j
9533,Pettu,22.92314,60.03843,ud8m
9532,Lillandet P (Nauvo),21.96964,60.19900,u6xw
9531,Käldö,21.96815,60.20438,u6xw
9530,Kokonsaari,28.73938,61.78202,udur
990,Perkala P,21.47670,60.37946,u6xr
9538,Äitsaari,28.61052,61.24843,uduk
9201,Bergö,21.17711,62.94392,u7pn
9199,Barölandet,23.87630,59.97720,ud8v
9198,Långnäs (Hiittinen),22.44893,59.87270,u6xu
9191,Palva I,21.67568,60.46788,u6xr
9190,Näsby I (Houtskari),21.39576,60.21744,u6xn
9193,Kokkila,22.94342,60.31809,ud8r
9115,Knivskär,21.97564,60.01147,u6xt
9114,Innamo,21.75249,60.24954,u6xq
9117,Lökholm,21.88263,59.91240,u6xs
9116,Kopparholm,21.90406,59.96798,u6xt
9111,Grötö,22.01547,60.07993,u6xt
9110,Byskär,21.97029,60.08426,u6xt
9113,Hummelholm,21.79664,60.10082,u6xm
9112,Gullkrona,22.08313,60.08831,u6xt
9278,Sandholmen (Rösö),25.32479,60.22564,uddn
9205,Kesamonsaari P,28.72850,61.81380,udur
980,Södrö,21.29102,60.28309,u6xn
9119,Nötö,21.75590,59.95381,u6xm
9118,Nauvo,21.91189,60.19412,u6xw
985,Kolko,21.40975,60.41865,u6xp
9251,Simsalö,25.29055,60.23723,ud9y
9207,Kervinen,27.91451,66.58027,uegf
9256,Tveskiftsholm,21.74997,60.10570,u6xm
9206,Tappuniemi,28.46650,62.20077,ueh1
9257,Östra Tallholmen,22.16428,60.16022,u6xy
9524,Laukansaari E,28.82796,61.80871,udur
9527,Ahvionsaari,28.75139,61.70883,udur
9520,Tappisaari,28.59888,61.74300,udur
9254,Fagerholm,21.69839,60.11208,u6xm
97,Houtsala (Norrskata),21.59888,60.25706,u6xq
9523,Laukansaari P,28.83391,61.82959,udux
9509,Haukkasalo L,25.36943,61.70476,udfp
9255,Lånholm,21.74170,60.12137,u6xq
9528,Ahvionniemi,28.75197,61.70668,udur
9529,Kesamonsaari E,28.72753,61.79716,udur
9245,Norra Bodö,25.45806,60.18437,uddn
9244,Bodö,25.44117,60.18083,uddn
9108,Borstö,21.96968,59.86201,u6xs
9109,Brännskär,21.97543,60.08614,u6xt
9241,Haapasaari,27.18640,60.28601,udeq
9240,Kaunissaari,26.77647,60.34460,udep
